500  0.108577  0.1056985  0.32186125  0.383839
550  0.1397955  0.1418335  0.397126  0.52172675
600  0.1767135  0.17917  0.47888125  0.65816525
650  0.23238525  0.23554325  0.59200425  0.8670115
700  0.287877  0.294283  0.792106  1.08034975
750  0.38255675  0.3938685  0.8294525  1.3479845
800  0.43902775  0.4457265  0.92872675  1.6318645
850  0.5338615  0.54041375  1.114141  1.968327
900  0.6286295  0.63017025  1.30893225  2.31028525
950  0.7434535  0.79932125  1.53855375  2.79285425
1000  0.87180625  0.87477925  1.69412075  3.18658325
1050  1.08135725  1.07655625  1.9202565  3.9283035
1100  1.2833035  1.25296075  2.2918365  4.54980025
1150  1.557938  1.5257735  2.443681  5.5731635
1200  1.61190425  1.69398075  2.73373725  5.8611145
1250  2.2243805  2.13875625  3.18968625  7.65590475
1300  2.68635475  2.66361325  3.6704105  9.25484425
1350  3.09662825  3.0860735  4.178515  10.86976775
1400  3.1749015  3.3539705  4.3326835  11.318091
1450  4.088433  4.21259425  5.10508075  15.08170575
1500  4.615464  4.96366925  5.7333915  17.62584675
1550  5.3915275  5.5854495  6.0573845  20.47806325
1600  5.3961305  5.73577775  6.33701825  20.2908805
1650  6.755917  7.22766275  7.22739525  25.28339725
1700  7.31496775  7.69622575  8.24663525  27.8090795
1750  8.28356875  8.718571  8.77601  31.323371
1800  7.94262225  8.3289985  8.72748025  29.4862755
1850  10.0071585  10.5942145  10.50101775  38.276813
1900  10.946825  11.544493  11.46190225  41.36449225
1950  11.96320775  12.74114725  12.13392725  45.17946725
