500  0.19996925  0.198348  0.36774  0.383839
550  0.26776625  0.26970375  0.469405  0.52172675
600  0.336808  0.33879325  0.57127825  0.65816525
650  0.4453265  0.4474695  0.725945  0.8670115
700  0.5492315  0.55150925  0.8758445  1.08034975
750  0.69202675  0.692135  1.04444075  1.3479845
800  0.82886125  0.83102875  1.2259525  1.6318645
850  1.01503575  1.01887025  1.484881  1.968327
900  1.19368525  1.203191  1.7279685  2.31028525
950  1.447887  1.44626475  2.012815  2.79285425
1000  1.6829465  1.65279975  2.300464  3.18658325
1050  2.10067825  2.02961175  2.69493  3.9283035
1100  2.4702455  2.35531025  3.0675355  4.54980025
1150  3.01582525  2.8262965  3.5837655  5.5731635
1200  3.15043925  3.0648505  3.88812925  5.8611145
1250  4.3924575  3.92519325  4.6337295  7.65590475
1300  5.1724925  4.847833  5.21188725  9.25484425
1350  6.01626225  5.72923575  5.97746925  10.86976775
1400  6.05598075  5.89639325  6.344475  11.318091
1450  8.05296  7.9635935  7.5698345  15.08170575
1500  9.0331665  8.946418  8.47281775  17.62584675
1550  10.41816275  10.50398775  9.42801325  20.47806325
1600  10.4325195  10.772816  10.1906975  20.2908805
1650  13.05509725  13.26846175  11.52908975  25.28339725
1700  14.31787775  14.592598  12.79139075  27.8090795
1750  16.093066  16.304717  14.02641825  31.323371
1800  15.33986  15.65277125  13.59442575  29.4862755
1850  19.5473505  19.915959  17.804209  38.276813
1900  21.23444125  21.60709725  18.49416425  41.36449225
1950  23.16668625  23.69444775  20.78254675  45.17946725
