16144     2.6688664     0.6300811
16208     2.70227695     0.6349997
16272     2.74690445     0.6407552
16336     2.7792053     0.64528405
16400     2.8061039     0.65033275
16464     2.83312245     0.6551357
16528     2.8476835     0.6603446
16592     2.85446365     0.66559005
16656     2.88184405     0.67066025
16720     2.90156435     0.6761957
16784     2.9377676     0.6807433
16848     2.94943945     0.68664725
16912     2.97861585     0.6912314
16976     3.0075452     0.69690925
17040     3.0457627     0.70142275
17104     3.07420615     0.7074991
17168     3.0923831     0.71265265
