10000000 0.0219872  0.0230126  0.0117804  0.007903  0.0062028  
20000000 0.044007  0.0438082  0.0227682  0.0156904  0.0118874  
30000000 0.0654798  0.0653412  0.0337998  0.0231326  0.017628  
40000000 0.0876432  0.0872398  0.0460494  0.0304102  0.0233884  
50000000 0.1094646  0.1086902  0.0562678  0.0380588  0.029079  
60000000 0.1310124  0.1323338  0.0682184  0.0456754  0.0349188  
70000000 0.1527962  0.1545048  0.0789506  0.0533192  0.0406854  
80000000 0.1752344  0.17476  0.0893226  0.0602794  0.0468228  
90000000 0.1966144  0.1966446  0.101717  0.067985  0.0521676  
100000000 0.2184946  0.2184746  0.1132424  0.0757156  0.0577598  
