10000000 0.024215  0.024084  0.0124694  0.008445  0.0066722  
20000000 0.0483226  0.0482034  0.0249488  0.016692  0.0135068  
30000000 0.0725114  0.0721206  0.0371786  0.0249686  0.0198056  
40000000 0.0964872  0.0964726  0.0495532  0.0332414  0.0259264  
50000000 0.1206878  0.1208964  0.0620152  0.0415506  0.0323598  
60000000 0.1456946  0.1446924  0.074271  0.0497918  0.0406484  
70000000 0.1688004  0.1686986  0.0868392  0.0580928  0.0451464  
80000000 0.1935024  0.1930634  0.0992004  0.0663522  0.0515276  
90000000 0.2173922  0.2169034  0.1113746  0.0747204  0.0582238  
100000000 0.2416532  0.2425574  0.1238734  0.082999  0.0644584  
