1792	54.002781	8049005188	4622381	14.0313086	4679019271	7790244
1808	32.7971454	8330719902	4704727	14.3997754	2456829188	7929434
1824	35.926886	8482881954	4788124	14.7712918	2681499252	8070095
1840	34.9744604	8776872110	4871898	15.1594704	2586069623	8211730
1856	40.2162664	8931840218	4956624	15.570772	3160207636	8354739
1872	37.329058	9236164491	5041811	15.9666094	2719916500	8498811
1888	40.186303	9396458197	5139125	16.3798882	2966531112	8655470
1904	39.5541732	9820286190	5229706	16.7993394	2858092659	8806007
1920	49.1861412	9985503001	5317374	17.2609054	4240493724	8954021
1936	41.7267316	10317490896	5406002	17.6776656	3000759643	9103508
1952	45.2072192	10485643312	5495348	18.0961272	3211037698	9254209
1968	43.7550092	10828248679	5585188	18.5858752	3102580294	9405916
1984	50.7788104	11001878472	5675738	19.011879	3843742929	9558854
2000	45.7916328	11358590609	5767239	19.4780174	3299907138	9713193
2016	50.5547176	11534691467	5859331	19.9426564	3594522405	9868713
2032	48.7840016	11902780273	5952175	20.4145462	3456659339	10025431
2048	133.770789	12086285896	6045678	20.9637652	3311314180	10183321
